,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600000,5.39,3.33,3.0,16.18,4.72,15.7
1,600004,2.92,1.7,4.88,14.27,9.4,15.95
2,600006,2.67,1.31,2.58,6.9,5.24,6.89
3,600007,1.98,1.65,8.74,17.28,12.34,20.33
4,600008,1.9,1.27,2.17,4.12,3.35,4.27
5,600009,1.61,1.31,16.57,26.63,21.68,28.38
6,600010,1.96,1.2,1.44,2.82,2.49,2.99
7,600011,1.8,1.28,3.91,7.03,5.84,7.45
8,600012,4.55,2.85,3.57,16.26,5.7,16.22
9,600015,4.1,2.5,2.71,11.1,4.42,11.03
10,600016,2.9,2.21,3.12,9.04,3.85,8.51
11,600017,1.92,1.43,2.12,4.08,2.84,4.05
12,600018,0.89,0.79,5.75,5.14,7.05,5.59
13,600019,0.94,0.93,6.76,6.35,6.93,6.45
14,600020,1.74,1.26,2.6,4.52,3.7,4.67
15,600021,4.14,2.62,2.92,12.09,4.58,12.02
16,600022,0.82,0.6,3.1,2.53,4.45,2.67
17,600026,0.79,0.57,8.74,6.87,12.27,7.05
18,600027,2.46,1.15,2.02,4.97,4.38,5.04
19,600028,1.01,1.08,5.42,5.46,5.23,5.64
20,600029,3.48,2.03,2.01,7.0,3.76,7.65
21,600030,2.69,1.51,6.0,16.13,10.59,16.03
22,600031,4.5,3.93,1.38,6.21,1.88,7.38
23,600033,1.53,1.1,2.27,3.48,3.27,3.59
24,600035,3.06,1.81,1.98,6.05,3.19,5.77
25,600036,2.34,2.24,7.64,17.85,8.24,18.48
26,600037,1.09,0.83,13.97,15.29,18.25,15.19
27,600038,4.44,2.75,11.22,49.85,17.84,49.01
28,600048,5.92,4.51,1.54,9.12,2.11,9.52
29,600050,1.76,1.6,4.14,7.3,4.64,7.42
30,600051,2.51,1.23,5.23,13.11,10.53,13.0
31,600053,10.93,6.59,4.23,46.22,6.46,42.6
32,600054,2.38,1.82,6.73,16.03,9.6,17.47
33,600055,10.07,3.66,1.77,17.82,4.63,16.95
34,600056,12.35,8.13,1.56,19.26,2.76,22.43
35,600057,2.96,1.7,3.87,11.46,6.48,11.02
36,600058,1.89,0.97,8.1,15.3,15.15,14.77
37,600059,1.63,1.19,6.28,10.26,8.83,10.54
38,600060,15.82,7.85,1.09,17.24,2.29,17.98
39,600061,6.37,3.16,2.45,15.61,4.77,15.09
40,600062,5.53,2.83,4.15,22.93,8.19,23.2
41,600063,4.47,2.13,1.07,4.78,2.29,4.88
42,600064,6.87,3.19,2.46,16.89,5.47,17.44
43,600066,43.0,22.1,0.45,19.35,0.94,20.77
44,600067,3.07,1.51,2.33,7.16,4.6,6.96
45,600068,6.56,4.29,1.4,9.18,2.71,11.62
