,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600288,4.9,2.11,3.05,14.96,6.53,13.75
1,600289,2.33,1.66,5.63,13.14,7.75,12.87
2,600410,2.21,1.44,4.94,10.91,7.01,10.1
3,600446,16.68,9.71,1.52,25.35,2.32,22.53
4,600455,7.66,3.95,7.65,58.61,12.85,50.76
5,600476,7.08,2.84,4.43,31.35,10.28,29.2
6,600536,4.36,2.76,5.58,24.35,8.7,24.03
7,600570,39.76,13.67,1.2,47.71,3.13,42.8
8,600571,12.87,6.17,1.51,19.43,3.05,18.81
9,600588,6.15,3.66,3.41,20.98,5.0,18.29
10,600634,5.72,3.93,3.09,17.68,5.21,20.47
11,600652,5.16,2.39,2.51,12.95,4.7,11.23
12,600718,2.23,1.47,8.72,19.48,13.49,19.81
13,600728,11.83,4.32,0.72,8.52,2.06,8.9
14,600756,6.02,3.33,3.85,23.18,6.45,21.47
15,600845,5.2,3.11,3.49,18.15,5.81,18.07
16,600850,13.43,5.4,1.81,24.31,4.32,23.34
17,600986,8.78,5.33,1.75,15.36,3.11,16.58
18,000555,14.83,6.48,1.44,21.35,3.24,21.0
19,000662,3.17,1.98,6.63,21.05,9.44,18.72
20,000681,5.93,3.13,3.23,19.16,6.3,19.75
21,000851,1.43,1.03,8.35,11.94,12.1,12.45
22,000948,4.62,2.64,3.83,17.7,6.37,16.83
23,000971,8.98,4.05,2.61,23.45,5.15,20.87
24,000997,7.6,4.32,2.66,20.21,4.33,18.72
25,002027,6.13,3.27,2.27,13.91,3.34,10.92
26,002063,6.89,4.64,1.93,13.3,2.71,12.57
27,002065,18.6,12.7,1.23,22.88,1.63,20.7
28,002073,2.33,1.86,4.85,11.28,5.82,10.8
29,002090,3.98,2.33,6.09,24.24,10.12,23.6
30,002095,3.22,3.56,12.54,40.4,11.16,39.78
