,code,name,times_4,net40,net41
0,000971,高升控股,-0.57,-19547.69,11104.25
1,002264,新 华 都,1.42,3842.85,5438.36
2,600477,杭萧钢构,21.24,2112.77,44875.84
3,000711,京蓝科技,-0.4,-3031.19,1198.89
4,002321,华英农业,6.52,1403.41,9147.05
5,600230,沧州大化,3.63,10225.53,37106.39
6,000049,德赛电池,12.74,2003.83,25530.13
7,000823,超声电子,2.29,8162.14,18722.18
8,600874,创业环保,2.61,17009.1,44316.8
9,600116,三峡水利,30.38,761.35,23130.72
10,000568,泸州老窖,5.73,33661.29,192774.35
11,600452,涪陵电力,5.59,3006.61,16794.64
12,002232,启明信息,1.08,4250.19,4571.71
13,600702,沱牌舍得,4.02,1994.12,8019.9
14,600535,天士力,5.72,20550.01,117642.49
15,000521,美菱电器,18.4,1196.57,22021.67
16,600873,梅花生物,131.63,791.4,104168.99
17,002053,云南能投,3.25,8311.72,27012.68
18,000513,丽珠集团,5.64,13914.95,78435.36
19,002302,西部建设,5.62,5629.04,31630.98
20,000803,*ST金宇,-21.02,293.24,-6163.91
21,002349,精华制药,13.98,1180.17,16502.97
22,600099,林海股份,0.17,1167.96,193.4
23,600750,江中药业,4.98,7632.36,37976.38
24,002242,九阳股份,16.1,4333.95,69772.68
25,000910,大亚圣象,3.64,14880.9,54111.82
26,000423,东阿阿胶,12.04,15385.55,185247.35
27,600332,白云山,6.63,22732.77,150803.27
28,600305,恒顺醋业,3.95,4317.81,17041.12
29,002296,辉煌科技,3.63,2343.55,8507.01
30,600516,方大炭素,6.26,1077.18,6744.89
31,000858,五 粮 液,5.8,117011.75,678453.33
32,600566,济川药业,104.55,893.55,93418.29
33,600309,万华化学,4.45,82595.88,367942.18
34,600068,葛洲坝,47.95,7081.5,339531.26
35,600755,厦门国贸,5.15,20263.19,104319.77
36,000822,山东海化,-0.42,29526.6,-12308.68
37,000905,厦门港务,1.23,16827.83,20660.79
38,600486,扬农化工,9.22,4761.82,43926.06
39,601800,中国交建,6.93,241621.0,1674307.42
40,600570,恒生电子,0.44,4191.0,1829.14
41,000586,汇源通信,2.66,113.34,301.95
42,600328,兰太实业,1.4,5966.86,8327.95
43,600518,康美药业,33.44,9988.95,334040.36
44,002040,南 京 港,2.72,3105.97,8461.13
45,600089,特变电工,10.12,21638.71,219034.82
46,000028,国药一致,16.35,7255.52,118660.19
47,600588,用友网络,1.14,17338.98,19739.17
48,600771,广誉远,9.73,1262.23,12281.01
49,002051,中工国际,14.76,8667.14,127960.73
50,002259,升达林业,2.52,2830.57,7138.27
51,600835,上海机电,3.61,40151.45,144909.1
52,000756,新华制药,5.39,2270.56,12227.15
53,000963,华东医药,17.36,8335.13,144659.17
54,600987,航民股份,8.26,6575.22,54281.05
55,000089,深圳机场,1.38,40743.6,56243.09
56,601668,中国建筑,12.39,241151.6,2987010.4
57,600532,宏达矿业,23.53,487.23,11463.12
58,000069,华侨城Ａ,11.86,58087.72,688841.79
59,002195,二三四五,31.37,2023.99,63496.56
60,002683,宏大爆破,4.1,1525.85,6263.27
61,600976,健民集团,5.63,1148.72,6465.56
62,600663,陆家嘴,4.5,58847.63,264873.6
63,000661,长春高新,92.05,526.74,48485.25
64,600867,通化东宝,53.14,1206.16,64092.34
65,000939,凯迪生态,2.9,11513.84,33352.79
66,002294,信立泰,40.78,3423.88,139641.42
67,600306,商业城,15.13,731.91,11070.98
68,600060,海信电器,14.06,12509.27,175886.9
69,000553,沙隆达Ａ,-3.24,2295.66,-7449.0
70,000856,冀东装备,7.7,300.16,2312.46
71,600176,中国巨石,11.18,13605.01,152103.51
72,002185,华天科技,6.34,6161.93,39092.07
73,600519,贵州茅台,11.12,150411.68,1671836.27
74,600966,博汇纸业,1.38,14637.66,20131.96
75,600828,茂业商业,-9.48,-5992.17,56802.79
76,600760,中航黑豹,-0.45,-6166.74,2776.52
77,600628,新世界,1.83,13788.79,25272.05
78,601880,大连港,1.15,46168.16,53101.27
79,600132,重庆啤酒,1.22,14833.16,18099.01
80,000895,双汇发展,9.65,45650.22,440505.64
81,000927,一汽夏利,0.49,32950.44,16232.7
82,000888,峨眉山Ａ,4.65,4113.15,19119.95
83,600660,福耀玻璃,5.18,60722.03,314422.73
84,600138,中青旅,5.31,9102.78,48351.53
85,002241,歌尔股份,57.73,2860.5,165149.66
86,600196,复星医药,10.83,25915.8,280583.71
87,600190,锦州港,0.53,10561.06,5550.26
88,000502,绿景控股,10.14,316.78,3211.34
89,000488,晨鸣纸业,3.42,60296.72,206398.68
90,601186,中国铁建,11.29,124015.6,1399961.0
91,000418,小天鹅Ａ,28.42,4134.51,117505.49
92,000026,飞亚达Ａ,3.78,2926.32,11066.27
93,002352,顺丰控股,398.41,1049.28,418042.62
94,600319,亚星化学,0.83,3228.62,2678.17
