,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600062,5.45,2.88,4.28,23.34,8.2,23.61
1,600079,17.59,9.05,1.12,19.7,2.33,21.08
2,600080,4.74,2.06,2.7,12.8,5.68,11.7
3,600085,6.84,5.61,4.62,31.58,5.89,33.05
4,600129,5.15,2.36,3.43,17.65,7.85,18.5
5,600196,14.41,9.45,1.65,23.78,3.02,28.54
6,600201,27.2,11.89,1.13,30.74,2.9,34.48
7,600216,49.5,8.28,0.26,12.87,1.48,12.25
8,600267,5.38,3.08,2.51,13.5,4.52,13.9
9,600276,12.25,12.56,3.16,38.7,3.55,44.6
10,600285,17.16,6.57,0.74,12.7,1.88,12.35
11,600299,1.03,0.63,13.85,14.28,22.34,14.14
12,600329,11.08,6.81,1.63,18.06,2.9,19.76
13,600332,3.67,2.76,6.54,23.99,10.68,29.45
14,600351,12.67,6.8,0.78,9.88,1.33,9.04
15,600380,5.87,3.24,1.72,10.09,2.96,9.6
16,600420,6.68,4.49,2.36,15.76,3.75,16.85
17,600422,18.78,6.19,0.72,13.52,2.09,12.94
18,600436,10.78,8.37,4.23,45.58,6.03,50.48
19,600479,5.5,2.58,2.82,15.5,6.42,16.56
20,600488,2.64,1.7,2.4,6.34,3.75,6.36
21,600513,9.47,5.33,1.39,13.16,2.32,12.36
22,600518,20.73,12.56,0.86,17.83,1.47,18.46
23,600521,8.79,6.92,2.5,21.97,3.19,22.09
24,600535,21.91,8.68,1.83,40.09,4.59,39.83
25,600557,8.55,5.04,2.04,17.44,3.58,18.05
26,600566,18.05,8.53,1.7,30.69,3.77,32.16
27,600572,17.63,7.79,0.41,7.23,0.86,6.7
28,600594,14.37,12.33,1.17,16.81,1.49,18.37
29,600613,1.9,1.23,7.56,14.34,12.88,15.81
30,600664,5.31,1.38,1.59,8.44,5.42,7.5
31,600671,5.46,4.42,5.71,31.18,7.1,31.36
32,600771,6.67,4.9,5.06,33.75,8.21,40.21
33,600781,5.26,2.39,3.62,19.05,7.97,19.01
34,600789,3.33,2.07,2.94,9.78,4.75,9.84
35,600812,2.7,1.28,2.34,6.32,4.81,6.16
36,600976,8.3,4.76,3.89,32.29,6.8,32.38
37,600993,6.8,4.59,2.99,20.34,4.92,22.56
38,000004,11.01,5.47,4.06,44.7,7.29,39.84
39,000078,6.58,3.48,0.97,6.38,1.86,6.48
40,000513,26.59,8.83,2.23,59.29,6.38,56.32
41,000518,4.18,1.81,2.23,9.32,4.42,8.02
42,000538,7.25,7.41,10.2,73.9,11.99,88.86
43,000566,15.17,8.94,0.84,12.74,1.55,13.86
44,000597,3.1,2.02,3.29,10.2,6.68,13.51
45,000606,5.33,2.66,2.14,11.41,4.41,11.75
46,000623,3.3,2.49,9.44,31.14,12.4,30.92
47,000739,3.58,2.85,2.17,7.77,3.09,8.81
48,000756,4.28,2.29,2.96,12.67,6.19,14.15
49,000766,7.72,3.81,2.35,18.15,4.81,18.31
50,000788,8.81,3.38,1.62,14.28,3.9,13.19
51,000790,2.58,2.01,5.23,13.47,6.1,12.27
52,000806,6.95,3.01,2.28,15.85,4.03,12.12
53,000813,5.9,2.46,1.66,9.79,4.03,9.91
54,000915,16.37,8.1,2.06,33.73,4.01,32.5
55,000919,4.64,2.09,2.99,13.88,6.47,13.5
56,000952,6.09,2.64,3.23,19.67,7.91,20.85
57,000963,-445.13,29.82,-0.08,35.61,1.47,43.83
58,000989,19.85,4.67,1.1,21.84,4.69,21.88
59,000999,6.56,2.8,3.81,24.99,9.77,27.4
60,002001,-11.74,-29.38,-1.64,19.26,-0.66,19.39
61,002004,18.41,6.45,0.49,9.02,1.3,8.38
62,002007,19.26,8.6,1.84,35.43,4.24,36.48
63,002019,14.89,3.85,1.03,15.34,4.44,17.1
64,002020,9.9,6.4,1.15,11.38,1.92,12.29
65,002030,22.27,14.15,1.05,23.38,1.6,22.64
66,002038,40.11,9.73,0.7,28.08,2.79,27.15
67,002099,4.1,3.17,2.09,8.57,2.52,7.98
68,002102,4.04,3.2,1.27,5.13,1.62,5.18
