,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600007,2.95,2.69,5.89,17.37,7.48,20.14
1,600048,3.72,2.15,2.39,8.9,4.31,9.25
2,600052,2.21,1.15,3.18,7.02,5.88,6.78
3,600053,18.44,7.83,2.54,46.85,5.47,42.82
4,600064,6.13,3.12,2.71,16.61,5.55,17.3
5,600067,5.23,2.05,1.37,7.17,3.36,6.9
6,600077,3.44,1.81,1.63,5.6,2.85,5.16
7,600082,3.09,1.34,2.54,7.85,6.04,8.11
8,600095,4.35,3.16,3.01,13.09,4.26,13.45
9,600113,11.7,6.69,1.94,22.7,2.86,19.14
10,600133,4.22,2.84,1.98,8.35,2.94,8.36
11,600159,2.74,1.76,1.98,5.42,3.17,5.57
12,600162,1.95,0.94,2.0,3.9,4.0,3.75
13,600185,5.68,3.11,1.04,5.91,1.89,5.88
14,600215,5.7,3.33,2.62,14.93,4.0,13.3
15,600223,1.49,0.92,3.8,5.66,6.3,5.77
16,600240,8.41,5.06,1.29,10.85,2.27,11.48
17,600246,2.06,0.77,2.87,5.9,7.17,5.5
18,600266,3.89,1.95,3.45,13.43,7.41,14.45
19,600322,2.17,1.34,2.96,6.43,4.74,6.33
20,600325,1.59,0.86,4.49,7.16,8.17,7.04
21,600340,-18.25,-24.55,-1.29,23.54,-1.07,26.27
22,600376,6.08,2.16,1.9,11.56,5.46,11.8
23,600383,10.06,3.65,1.24,12.48,2.86,10.43
24,600393,4.76,2.9,1.66,7.9,2.77,8.02
25,600463,4.8,2.8,3.24,15.55,5.38,15.05
26,600466,7.23,3.55,1.36,9.83,2.67,9.48
27,600503,3.1,2.09,2.72,8.42,3.88,8.09
28,600510,2.75,1.72,3.22,8.84,5.56,9.55
29,600533,2.36,1.21,2.43,5.73,4.41,5.33
30,600565,4.53,1.74,1.62,7.34,3.86,6.7
31,600568,11.28,4.35,2.21,24.92,4.81,20.9
32,600604,8.21,4.9,1.34,11.0,1.92,9.41
33,600606,2.74,1.71,3.22,8.81,4.99,8.55
34,600621,3.89,2.66,3.83,14.9,5.31,14.11
35,600622,5.37,4.41,2.75,14.78,4.29,18.9
36,600638,2.14,1.76,8.61,18.46,11.49,20.22
37,600639,2.97,1.84,6.36,18.86,9.66,17.82
38,600641,3.71,1.9,3.38,12.55,6.81,12.96
39,600648,3.0,1.58,6.67,20.03,12.63,19.98
40,600658,6.28,3.22,2.11,13.25,4.26,13.73
41,600663,3.43,1.82,6.39,21.93,12.15,22.09
42,600665,2.68,1.58,2.02,5.42,3.58,5.64
43,600675,2.13,1.36,3.07,6.54,5.53,7.52
44,600683,3.19,2.12,2.8,8.92,4.13,8.74
45,600684,7.51,4.4,1.07,8.04,1.89,8.32
46,600696,4.08,2.17,2.74,11.17,4.49,9.73
47,600708,2.49,1.69,3.65,9.09,5.48,9.25
48,600716,1.85,1.29,4.39,8.13,5.79,7.47
49,600724,1.65,0.97,3.68,6.07,6.06,5.88
50,600743,2.43,1.11,1.82,4.43,4.05,4.48
51,600748,1.8,0.98,4.63,8.34,8.26,8.11
52,600791,2.13,1.66,3.97,8.47,5.27,8.75
53,600823,2.51,1.59,2.03,5.09,3.24,5.16
54,600848,3.48,2.46,5.68,19.77,8.1,19.89
55,600895,1.94,1.46,9.13,17.73,11.92,17.38
56,601588,1.63,1.4,2.56,4.18,4.09,5.74
57,000002,4.59,3.38,4.54,20.85,6.23,21.07
58,000005,2.74,1.92,2.56,7.01,3.42,6.55
59,000006,8.44,3.27,1.14,9.62,2.56,8.36
60,000011,10.69,4.93,1.82,19.45,3.24,15.96
61,000014,2.95,1.85,7.22,21.31,10.18,18.8
62,000031,1.9,1.19,4.74,9.02,6.93,8.22
63,000036,4.14,2.83,2.05,8.48,3.0,8.5
64,000040,3.63,1.96,3.48,12.64,6.76,13.27
65,000043,11.33,4.68,1.08,12.24,2.68,12.55
66,000046,4.07,2.03,2.31,9.4,4.59,9.3
67,000056,5.31,4.96,2.56,13.6,2.58,12.8
68,000402,2.38,1.92,4.27,10.16,5.44,10.45
69,000505,2.09,1.71,5.71,11.94,6.6,11.27
70,000514,2.76,1.17,4.17,11.49,8.63,10.09
71,000534,5.86,2.82,2.73,15.99,5.36,15.09
72,000537,3.01,1.86,3.12,9.39,5.37,10.0
73,000567,10.03,5.82,3.84,38.51,5.6,32.61
74,000573,4.88,3.11,2.03,9.91,2.89,9.0
75,000608,3.71,1.92,2.43,9.01,4.17,8.0
76,000609,2.02,1.57,8.05,16.27,12.26,19.25
77,000615,7.28,7.11,1.49,10.84,1.97,14.0
78,000616,3.59,1.73,1.48,5.31,2.9,5.02
79,000628,4.01,2.47,3.72,14.9,5.71,14.13
80,000667,2.15,1.52,1.73,3.72,2.45,3.73
81,000671,31.06,13.51,0.18,5.59,0.41,5.54
82,000718,3.98,1.67,2.11,8.39,4.27,7.12
83,000736,3.09,1.99,6.6,20.39,9.86,19.62
84,000797,3.58,2.52,4.86,17.4,7.34,18.53
85,000809,1.82,1.14,3.29,5.99,4.42,5.05
