,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600031,2.75,1.75,2.29,6.3,4.28,7.51
1,600169,1.32,0.84,3.11,4.1,5.23,4.37
2,600320,0.8,0.66,6.42,5.15,8.6,5.64
3,600582,1.48,1.19,3.48,5.16,4.71,5.6
4,600761,4.62,3.03,2.81,12.97,5.05,15.3
5,600815,1.49,1.04,4.54,6.75,7.15,7.47
6,600984,2.78,2.27,3.16,8.8,4.83,10.95
7,000157,2.07,0.99,2.21,4.58,4.87,4.83
8,000425,1.41,1.04,2.39,3.38,3.93,4.08
9,000528,1.91,1.27,3.91,7.47,7.09,8.98
10,000811,8.45,4.75,1.82,15.38,3.53,16.78
11,000923,5.38,3.67,4.23,22.74,6.54,23.98
12,002009,1.92,1.43,7.84,15.06,10.13,14.49
13,002011,3.27,2.09,2.98,9.73,4.5,9.4
14,002097,1.62,1.36,5.62,9.12,6.86,9.34
15,002158,5.25,4.37,1.97,10.34,2.46,10.75
