,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600288,5.53,2.65,2.81,15.55,5.19,13.77
1,600289,2.7,1.64,4.9,13.24,7.9,12.95
2,600410,2.37,1.73,4.76,11.28,5.87,10.13
3,600446,35.9,14.51,0.72,25.85,1.56,22.63
4,600476,3.89,3.84,8.11,31.51,7.7,29.57
5,600536,5.95,2.71,4.15,24.69,8.88,24.04
6,600570,12.08,7.14,3.99,48.18,6.01,42.94
7,600571,15.04,8.17,1.41,21.2,2.31,18.88
8,600588,3.65,2.93,5.84,21.34,6.31,18.46
9,600718,2.34,1.74,8.51,19.9,11.61,20.24
10,600728,7.73,5.57,1.12,8.66,1.62,9.03
11,600756,8.13,5.28,2.88,23.42,4.06,21.44
12,600845,3.67,2.65,5.03,18.44,6.78,17.96
13,600850,10.36,6.23,2.39,24.76,3.78,23.56
14,000555,11.68,9.59,1.9,22.19,2.2,21.09
15,000662,5.57,3.83,3.79,21.11,4.9,18.75
16,000851,2.4,2.29,5.1,12.24,5.49,12.57
17,000948,3.11,1.71,5.71,17.74,9.88,16.94
18,000997,11.83,5.36,1.73,20.47,3.59,19.24
19,002063,6.13,3.71,2.21,13.54,3.41,12.64
20,002065,9.15,6.03,2.54,23.24,3.45,20.82
21,002073,2.47,1.52,4.64,11.47,7.28,11.04
22,002090,5.07,4.31,4.89,24.78,5.48,23.62
23,002153,4.32,3.46,5.6,24.17,6.59,22.79
24,002184,4.08,2.51,5.2,21.2,7.57,18.98
25,002195,8.64,8.08,0.78,6.74,0.89,7.19
26,002230,12.63,12.84,2.21,27.92,2.79,35.83
27,002232,2.84,1.43,4.76,13.5,8.71,12.44
28,002253,4.09,4.25,6.23,25.51,7.24,30.79
29,002268,8.17,8.64,2.43,19.85,2.52,21.77
