,code,name,times_3,times_4,net30,net40,net31,net41
0,002333,罗普斯金,2.07,2.56,9965.84,5511.47,20612.72,14082.2
1,002591,恒大高新,-1.35,0.38,4904.6,3738.74,-6645.46,1412.16
2,600652,游久游戏,3.01,3.46,2476.32,3390.18,7461.67,11732.0
3,600874,创业环保,1.36,1.92,24297.8,23106.5,33053.7,44316.8
4,600793,宜宾纸业,-0.14,0.65,-6384.3,485.58,887.66,317.82
5,000592,平潭发展,0.61,0.37,6155.46,5480.58,3771.15,2027.96
6,603993,洛阳钼业,1.54,0.61,49509.48,164090.11,76116.01,99804.06
7,600760,中航黑豹,-5.51,-1.65,4010.08,-1680.2,-22079.59,2776.52
8,000058,深 赛 格,-0.24,2.21,-31209.21,4857.95,7424.21,10756.02
9,600071,凤凰光学,0.39,-4.17,5059.63,2768.3,1983.85,-11539.68
10,002072,凯瑞德,0.9,-0.27,-11728.13,-5320.19,-10589.57,1435.64
11,600239,云南城投,1.32,4.21,21091.21,5795.79,27864.86,24413.94
12,600250,南纺股份,-2.12,0.82,2056.02,2085.66,-4359.2,1719.22
13,300008,天海防务,1.28,3.82,4353.2,3783.15,5553.55,14434.81
14,002302,西部建设,4.37,4.87,7928.95,6488.87,34679.09,31630.98
15,000905,厦门港务,3.82,1.76,6761.07,11746.45,25808.97,20660.79
16,002485,希努尔,0.2,0.07,11100.64,10452.87,2258.61,746.86
17,300344,太空板业,-2.79,5.69,2338.12,434.6,-6534.98,2472.23
18,000692,惠天热电,1.9,-2.91,3928.83,-1805.83,7456.56,5260.56
19,000810,创维数字,19.84,31.03,2094.27,1567.5,41549.58,48640.2
20,000912,泸天化,0.16,-2.12,11100.08,30013.87,1827.14,-63720.06
21,002149,西部材料,-4.48,0.73,2954.89,2911.97,-13231.1,2122.11
22,000922,*ST佳电,8.04,8.03,-5558.2,-5437.24,-44697.0,-43666.84
23,002125,湘潭电化,3.55,-0.5,322.38,-4407.14,1143.52,2224.07
24,000639,西王食品,-40.99,201.07,-356.83,67.05,14627.98,13481.51
25,300136,信维通信,6.73,28.9,3291.65,1839.34,22136.88,53156.87
26,002519,银河电子,3.46,4.99,6576.04,6208.49,22772.73,30997.94
27,600588,用友网络,0.55,0.5,59370.0,39542.54,32374.53,19739.17
28,600623,华谊集团,4.18,-2.85,16861.09,-14701.01,70407.33,41829.64
29,000547,航天发展,3.01,8.23,6903.81,2965.74,20748.36,24402.04
30,300073,当升科技,0.33,2.9,4012.0,3418.15,1328.16,9928.78
31,603799,华友钴业,-2.57,1.21,9585.06,5742.52,-24600.31,6923.75
32,002340,格林美,2.71,6.38,5697.9,4133.6,15421.06,26373.19
33,300128,锦富技术,0.41,0.89,5233.02,4286.25,2158.25,3820.12
34,000605,渤海股份,44.86,6.97,101.11,610.23,4535.58,4254.59
35,000586,汇源通信,11.97,-0.03,141.88,-12049.93,1698.41,301.95
36,002545,东方铁塔,0.42,2.22,14289.96,6153.22,6046.59,13649.5
37,600491,龙元建设,1.13,2.9,18164.95,12019.0,20500.65,34842.37
38,002276,万马股份,3.13,2.89,8693.43,7449.39,27189.18,21521.82
39,000892,欢瑞世纪,-0.3,0.22,-440.63,120353.16,130.03,26507.31
40,000069,华侨城Ａ,2.72,7.51,170557.34,91743.53,464066.51,688841.79
41,600855,航天长峰,9.58,-2.54,305.62,-2276.18,2926.89,5774.49
42,000753,漳州发展,-1.8,5.29,4661.23,3852.33,-8399.61,20397.09
43,600637,东方明珠,82.06,-2.96,3542.18,-99139.98,290671.73,293401.42
44,300143,星河生物,0.52,4.8,2035.02,1146.34,1057.66,5508.04
45,600706,曲江文旅,-0.53,21.77,-9024.19,245.3,4792.16,5340.1
46,002188,巴士在线,0.65,7.07,1668.59,1324.51,1086.73,9360.07
47,600343,航天动力,2.58,1.91,1935.21,1552.28,4988.4,2965.77
48,300191,潜能恒信,-0.97,0.37,4916.17,3044.62,-4770.14,1136.35
49,000584,友利控股,0.95,-4.94,2774.63,8280.4,2625.48,-40911.48
