,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600073,4.59,2.98,2.55,11.71,3.64,10.84
1,600186,2.35,1.44,2.28,5.35,3.37,4.84
2,600191,3.99,2.01,3.58,14.27,5.36,10.79
3,600298,4.89,4.98,3.6,17.62,4.32,21.52
4,600300,3.41,2.09,1.98,6.76,3.12,6.53
5,600305,7.66,5.39,1.52,11.65,2.05,11.05
6,600419,14.43,11.12,3.89,56.15,5.48,60.96
7,600597,4.13,2.6,3.18,13.13,5.0,13.0
8,600737,1.37,0.86,9.41,12.86,13.0,11.18
9,600866,2.0,1.45,3.55,7.1,5.1,7.38
10,600872,5.53,2.47,2.59,14.31,6.37,15.72
11,600873,8.28,4.86,0.78,6.46,1.46,7.09
12,600882,3.79,2.54,2.92,11.08,4.23,10.74
13,600887,-33.92,91.45,-0.51,17.3,0.2,18.29
14,600962,3.52,2.26,5.88,20.68,8.0,18.11
15,000019,5.8,3.98,2.86,16.58,3.94,15.69
16,000639,11.52,8.37,2.07,23.85,2.86,23.93
17,000848,6.75,7.03,1.64,11.07,1.55,10.89
18,000893,1.74,1.24,6.72,11.72,12.45,15.41
19,000895,4.26,4.68,4.64,19.78,4.57,21.38
20,000911,2.69,1.21,6.83,18.38,12.92,15.66
21,000972,1.26,0.9,5.82,7.35,7.1,6.38
22,002053,4.1,2.87,4.48,18.38,6.55,18.8
23,002216,3.54,2.77,3.24,11.47,3.46,9.59
24,002220,3.82,2.59,3.59,13.71,4.65,12.05
