,code,times_jan,times_mar,jan0,mar0,jan1,mar1
0,600055,5.3,3.46,2.4,12.73,3.52,12.18
1,600381,1.33,0.98,12.09,16.14,16.93,16.65
2,600530,6.92,4.0,1.11,7.68,1.78,7.12
3,600587,5.3,4.52,4.83,25.62,5.57,25.2
4,600763,11.4,7.09,2.82,32.16,4.06,28.78
5,600767,5.18,3.04,3.02,15.64,4.21,12.8
6,000150,10.18,6.36,3.04,30.96,4.53,28.8
7,000502,2.62,1.73,8.04,21.09,10.23,17.73
8,000503,11.74,6.84,3.68,43.22,5.05,34.55
9,002022,1.65,1.79,12.41,20.43,11.67,20.93
10,002044,15.98,11.1,0.83,13.26,1.15,12.77
11,002173,4.2,3.31,4.8,20.15,6.15,20.34
12,002223,9.25,8.04,2.24,20.72,2.62,21.07
